plate_well,primer_combi
GF_plate1_COL_1&2_P12,m715m87
GF_plate1_COL_1&2_A13,m716m2
GF_plate1_COL_1&2_B13,m716m3
GF_plate1_COL_1&2_C13,m716m14
GF_plate1_COL_1&2_D13,m716m15
GF_plate1_COL_1&2_E13,m716m26
GF_plate1_COL_1&2_F13,m716m27
GF_plate1_COL_1&2_G13,m716m38
GF_plate1_COL_1&2_H13,m716m39
GF_plate1_COL_1&2_I13,m716m50
GF_plate1_COL_1&2_J13,m716m51
GF_plate1_COL_1&2_K13,m716m62
GF_plate1_COL_1&2_L13,m716m63
GF_plate1_COL_1&2_M13,m716m74
GF_plate1_COL_1&2_N13,m716m75
GF_plate1_COL_1&2_O13,m716m86
GF_plate1_COL_1&2_P13,m716m87
GF_plate1_COL_1&2_A14,m718m2
GF_plate1_COL_1&2_B14,m718m3
GF_plate1_COL_1&2_C14,m718m14
GF_plate1_COL_1&2_D14,m718m15
GF_plate1_COL_1&2_E14,m718m26
GF_plate1_COL_1&2_F14,m718m27
GF_plate1_COL_1&2_G14,m718m38
GF_plate1_COL_1&2_H14,m718m39
GF_plate1_COL_1&2_I14,m718m50
GF_plate1_COL_1&2_J14,m718m51
GF_plate1_COL_1&2_K14,m718m62
GF_plate1_COL_1&2_L14,m718m63
GF_plate1_COL_1&2_M14,m718m74
GF_plate1_COL_1&2_N14,m718m75
GF_plate1_COL_1&2_O14,m718m86
GF_plate1_COL_1&2_P14,m718m87
GF_plate1_COL_1&2_A15,m719m2
GF_plate1_COL_1&2_B15,m719m3
GF_plate1_COL_1&2_C15,m719m14
GF_plate1_COL_1&2_D15,m719m15
GF_plate1_COL_1&2_E15,m719m26
GF_plate1_COL_1&2_F15,m719m27
GF_plate1_COL_1&2_G15,m719m38
GF_plate1_COL_1&2_H15,m719m39
GF_plate1_COL_1&2_I15,m719m50
GF_plate1_COL_1&2_J15,m719m51
GF_plate1_COL_1&2_K15,m719m62
GF_plate1_COL_1&2_L15,m719m63
GF_plate1_COL_1&2_M15,m719m74
GF_plate1_COL_1&2_N15,m719m75
GF_plate1_COL_1&2_O15,m719m86
GF_plate1_COL_1&2_P15,m719m87
GF_plate1_COL_1&2_A16,m720m2
GF_plate1_COL_1&2_B16,m720m3
GF_plate1_COL_1&2_C16,m720m14
GF_plate1_COL_1&2_D16,m720m15
GF_plate1_COL_1&2_E16,m720m26
GF_plate1_COL_1&2_F16,m720m27
GF_plate1_COL_1&2_G16,m720m38
GF_plate1_COL_1&2_H16,m720m39
GF_plate1_COL_1&2_I16,m720m50
GF_plate1_COL_1&2_J16,m720m51
GF_plate1_COL_1&2_K16,m720m62
GF_plate1_COL_1&2_L16,m720m63
GF_plate1_COL_1&2_M16,m720m74
GF_plate1_COL_1&2_N16,m720m75
GF_plate1_COL_1&2_O16,m720m86
GF_plate1_COL_1&2_P16,m720m87
GF_plate1_COL_1&2_A17,m721m2
GF_plate1_COL_1&2_B17,m721m3
GF_plate1_COL_1&2_C17,m721m14
GF_plate1_COL_1&2_D17,m721m15
GF_plate1_COL_1&2_E17,m721m26
GF_plate1_COL_1&2_F17,m721m27
GF_plate1_COL_1&2_G17,m721m38
GF_plate1_COL_1&2_H17,m721m39
GF_plate1_COL_1&2_I17,m721m50
GF_plate1_COL_1&2_J17,m721m51
GF_plate1_COL_1&2_K17,m721m62
GF_plate1_COL_1&2_L17,m721m63
GF_plate1_COL_1&2_M17,m721m74
GF_plate1_COL_1&2_N17,m721m75
GF_plate1_COL_1&2_O17,m721m86
GF_plate1_COL_1&2_P17,m721m87
GF_plate1_COL_1&2_A18,m722m2
GF_plate1_COL_1&2_B18,m722m3
GF_plate1_COL_1&2_C18,m722m14
GF_plate1_COL_1&2_D18,m722m15
GF_plate1_COL_1&2_E18,m722m26
GF_plate1_COL_1&2_F18,m722m27
GF_plate1_COL_1&2_G18,m722m38
GF_plate1_COL_1&2_H18,m722m39
GF_plate1_COL_1&2_I18,m722m50
GF_plate1_COL_1&2_J18,m722m51
GF_plate1_COL_1&2_K18,m722m62
GF_plate1_COL_1&2_L18,m722m63
GF_plate1_COL_1&2_M18,m722m74
GF_plate1_COL_1&2_N18,m722m75
GF_plate1_COL_1&2_O18,m722m86
GF_plate1_COL_1&2_P18,m722m87
GF_plate1_COL_1&2_A19,m723m2
GF_plate1_COL_1&2_B19,m723m3
GF_plate1_COL_1&2_C19,m723m14
GF_plate1_COL_1&2_D19,m723m15
GF_plate1_COL_1&2_E19,m723m26
GF_plate1_COL_1&2_F19,m723m27
GF_plate1_COL_1&2_G19,m723m38
GF_plate1_COL_1&2_H19,m723m39
GF_plate1_COL_1&2_I19,m723m50
GF_plate1_COL_1&2_J19,m723m51
GF_plate1_COL_1&2_K19,m723m62
GF_plate1_COL_1&2_L19,m723m63
GF_plate1_COL_1&2_M19,m723m74
GF_plate1_COL_1&2_N19,m723m75
GF_plate1_COL_1&2_O19,m723m86
GF_plate1_COL_1&2_P19,m723m87
GF_plate1_COL_1&2_A20,m724m2
GF_plate1_COL_1&2_B20,m724m3
GF_plate1_COL_1&2_C20,m724m14
GF_plate1_COL_1&2_D20,m724m15
GF_plate1_COL_1&2_E20,m724m26
GF_plate1_COL_1&2_F20,m724m27
GF_plate1_COL_1&2_G20,m724m38
GF_plate1_COL_1&2_H20,m724m39
GF_plate1_COL_1&2_I20,m724m50
GF_plate1_COL_1&2_J20,m724m51
GF_plate1_COL_1&2_K20,m724m62
GF_plate1_COL_1&2_L20,m724m63
GF_plate1_COL_1&2_M20,m724m74
GF_plate1_COL_1&2_N20,m724m75
GF_plate1_COL_1&2_O20,m724m86
GF_plate1_COL_1&2_P20,m724m87
GF_plate1_COL_1&2_A21,m726m2
GF_plate1_COL_1&2_B21,m726m3
GF_plate1_COL_1&2_C21,m726m14
GF_plate1_COL_1&2_D21,m726m15
GF_plate1_COL_1&2_E21,m726m26
GF_plate1_COL_1&2_F21,m726m27
GF_plate1_COL_1&2_G21,m726m38
GF_plate1_COL_1&2_H21,m726m39
GF_plate1_COL_1&2_I21,m726m50
GF_plate1_COL_1&2_J21,m726m51
GF_plate1_COL_1&2_K21,m726m62
GF_plate1_COL_1&2_L21,m726m63
GF_plate1_COL_1&2_M21,m726m74
GF_plate1_COL_1&2_N21,m726m75
GF_plate1_COL_1&2_O21,m726m86
GF_plate1_COL_1&2_P21,m726m87
GF_plate1_COL_1&2_A22,m727m2
GF_plate1_COL_1&2_B22,m727m3
GF_plate1_COL_1&2_C22,m727m14
GF_plate1_COL_1&2_D22,m727m15
GF_plate1_COL_1&2_E22,m727m26
GF_plate1_COL_1&2_F22,m727m27
GF_plate1_COL_1&2_G22,m727m38
GF_plate1_COL_1&2_H22,m727m39
GF_plate1_COL_1&2_I22,m727m50
GF_plate1_COL_1&2_J22,m727m51
GF_plate1_COL_1&2_K22,m727m62
